Item Number,Item Name,Item Description,Size,Regular Price,UPC,Department Name,Qty 1,On Order Qty
2841,EBIN TINTED LACE 10X LWB,,,1800,0812429039666,BEAUTY SUPPLIES,18,0
2868,JANET AFRO PERM-L STRING,,,2250,0884593218819,BEAUTY SUPPLIES,1,0
2895,BEAUT MASCARA WAND,,,450,0840096937015,BEAUTY SUPPLIES,3,0
2922,OUTRE LUXY GINGER,,,7500,0827298943525,BEAUTY SUPPLIES,0,0
2935,AP OM REGULAR RELAER KIT,,,1500,0802535410053,BEAUTY SUPPLIES,2,0
2962,ARM & HAMMER ULTRA MAX COOL BLA,,,750,0033200197645,BEAUTY SUPPLIES,3,0
2988,DOMINICAN ONE NEW JERRY NAT BR,,"18""",2000,0828179589696,BEAUTY SUPPLIES,6,0
2708,ELASTIC BAND BROWN BLK,,,500,0840096923988,BEAUTY SUPPLIES,1,0
2765,NYX BUTTER GLOSS 13,,,800,0800897818579,BEAUTY SUPPLIES,-1,0
2798,OSSION RED,,,550,8681701007714,BEAUTY SUPPLIES,-16,0
2813,MAYBELLINE FIT ME #368,,,1950,0041554538731,BEAUTY SUPPLIES,1,0
2842,NATURES BLACK SOAP(SMALL),,,600,0763961292135,BEAUTY SUPPLIES,1,0
2869,WONDER GRO INDIAN HEMP,,,750,0743690086212,BEAUTY SUPPLIES,3,0
2896,BEAUT SILICONE MASCARA WAND,,,450,0840096937022,BEAUTY SUPPLIES,7,0
2923,OUTRE LUXY 613,,,7500,0827298943501,BEAUTY SUPPLIES,1,0
2936,"MAYDE P/T JELLY DIP 14"" CANDY",,,2700,0650270596699,BEAUTY SUPPLIES,0,0
2963,GILLETTE PRESTO,,,80,4902430648714,BEAUTY SUPPLIES,78,0
2989,DOMINICAN ONE NEW JERRY NAT BL,,"24""",2500,0828179589528,BEAUTY SUPPLIES,0,0
3012,JUST FOR MEN MUSTACHE&BEARD,,,2400,0011509049056,BEAUTY SUPPLIES,3,0
3031,DOMINICAN ONE NEW JERRY NAT BRO,,24'',2500,0828179589658,BEAUTY SUPPLIES,6,0
3058,TYCHE IONIC TURBO 3000,,,8000,,BEAUTY SUPPLIES,1,0
2766,NYX BUTTER GLOSS 05,,,800,0800897818494,BEAUTY SUPPLIES,-1,0
2799,DOVE ADVANCED CARE SHEER COOL,,,700,0079400448347,BEAUTY SUPPLIES,10,0
2814,MAYBELLINE FIT ME #330,,,1950,0041554433517,BEAUTY SUPPLIES,-1,0
2843,JUST FOR ME SOOTHING BALM,,,1500,0802535366060,BEAUTY SUPPLIES,2,0
2870,WONDER GRO BERGAMOT WITH OLIVE,,,750,0743690086182,BEAUTY SUPPLIES,2,0
2897,LOOKS L80 BRUSH CLEAR,,,250,0692541971132,BEAUTY SUPPLIES,12,0
2924,OUTRE LUXY # 1,,,7500,0827298943464,BEAUTY SUPPLIES,0,0
2937,ORGANIC HAIR BOOSTER,,,1000,0743690050336,BEAUTY SUPPLIES,1,0
2964,P&B RED ONE BLACK,,,1100,8697926016240,BEAUTY SUPPLIES,0,0
2990,DOMINICAN ONE DEEP CURLY NAT BL,,"18""",2000,0828179589566,BEAUTY SUPPLIES,-13,0
3013,JUST FOR MEN SHAMPOO RB,,,2000,0011509049353,BEAUTY SUPPLIES,3,0
3032,DOMINICAN ONE YAKI ST NAT BR,,24'',2500,0828179589863,BEAUTY SUPPLIES,-11,0
3059,SMOKKIN HAIR GEL WAX RED,,,900,8682678300020,BEAUTY SUPPLIES,0,0
3085,13X6 DEEP CURLY FRONTAL,,14,19000,,BUNDLES,2,0
2657,BARBICIDE 16OZ,,,950,0017922516113,BEAUTY SUPPLIES,6,0
2684,SLEEP CAP QFITT,,,400,0842510001500,BEAUTY SUPPLIES,16,0
2709,MELT BAND BLK,,,600,0658302225562,BEAUTY SUPPLIES,4,0
2767,L.A COLORS HOLO LIPGLOSS,,,1000,0081555784218,BEAUTY SUPPLIES,1,0
2800,DI FEEL BLACK CASTOR OIL,,,1550,0711716021363,BEAUTY SUPPLIES,5,0
2815,REMINGTON WET2STYLE 1 3/4,,,7500,0074590554823,BEAUTY SUPPLIES,0,0
2844,AP MAGICAL GRO HERB OIL,,,1500,0802535450530,BEAUTY SUPPLIES,2,0
2871,WONDER GRO COCONUT& TAR,,,750,0743690086380,BEAUTY SUPPLIES,1,0
2898,ISABELLA NIPPLE MINI COVER,,,800,0793227983057,BEAUTY SUPPLIES,4,0
2925,LAUDE P/T JAMAICA BRAID,,,3600,0768538819302,BEAUTY SUPPLIES,0,0
2938,EBIN TINTED FOAMING MOUSSE DB,,,1200,0812429039918,BEAUTY SUPPLIES,11,0
2965,TREE HUT STRAWBERRY,,,2400,0075371002687,BEAUTY SUPPLIES,0,0
2991,DOMINICAN ONE DEEP CURLY NAT BR,,"18""",2000,0828179589795,BEAUTY SUPPLIES,-3,0
2658,DR. MIRACLE SERUM 4OZ,,,1700,0802535231016,BEAUTY SUPPLIES,3,0
2685,WAX APPLI 100PCS,,,750,0087768600086,BEAUTY SUPPLIES,0,0
2768,"SPRINGY AFRO TWIST 16"" #2",,,1950,0827298830177,BEAUTY SUPPLIES,-1,0
2801,CON ARGAN OIL TREATMENT,,,1700,0075724251984,BEAUTY SUPPLIES,14,0
2816,"XX02 CURLY CLOSURE BOB 8""",,,15000,,BUNDLES,0,0
2845,ANNIE SHAMPOO&MASSAGE BRUSH,,,600,0705372029221,BEAUTY SUPPLIES,1,0
2872,LA CHARME EYELASHES,,,500,0020504046243,BEAUTY SUPPLIES,1,0
2899,NIPPLE SILICONE PAD,,,600,0892600140831,BEAUTY SUPPLIES,9,0
2926,"BOBBI BOSS 3X 14"" BUTTERFLY LOC",,,3600,0768538701447,BEAUTY SUPPLIES,0,0
2939,EBIN TINTED FOAMING MOUSSE LWB,,,1200,0812429039895,BEAUTY SUPPLIES,19,0
2966,DR TEALS PREBIOTIC LEMON BALM,,,2400,0810021208435,BEAUTY SUPPLIES,0,0
2992,3X KIMA DE LOCS #1B,,"20""",2400,0655302348208,BEAUTY SUPPLIES,0,0
3014,JUST FOR MEN SHAMPOO JB,,,2000,0011509049360,BEAUTY SUPPLIES,3,0
2659,DR MIRACLE GRO SUPER,,,1200,0802535232013,BEAUTY SUPPLIES,2,0
2769,YAMAN BRAID #1,,,1100,0896586174378,BEAUTY SUPPLIES,1,0
2802,AP BRAID LOC & TWIST GEL,,,1050,0802535100480,BEAUTY SUPPLIES,2,0
2817,"KS BOB 12""",,,19500,,BUNDLES,2,0
2846,TORNADO COILER MINI SPONGE,,,1050,0695019099277,BEAUTY SUPPLIES,1,0
2873,MAGIC 3IN1 EDGE BRUSH,,,300,0636227888895,BEAUTY SUPPLIES,13,0
2900,AB NO BRA BOOB TAPE NU,,,1500,0722070201117,BEAUTY SUPPLIES,7,0
2927,LAUDE VITA 14/16/18 WATER WAVE,,,6500,0768538855874,BEAUTY SUPPLIES,0,0
2940,EBIN TINTED FOAMING MOUSSE MB,,,1200,0812429039901,BEAUTY SUPPLIES,15,0
2967,TREE HUT PINK HIBISCUS,,,2400,0075371002588,BEAUTY SUPPLIES,-1,0
2993,3X KIMA DE LOCS #2,,"20""",2400,0655302348215,BEAUTY SUPPLIES,1,0
3015,JUST FOR MEN MUSTACHE JB,,,2400,0011509049063,BEAUTY SUPPLIES,2,0
3033,DOMINICAN ONE YAKI ST NAT BROWN,,18'',2000,0828179589870,BEAUTY SUPPLIES,10,0
3060,SMOKKIN HAIR GEL WAX ORANGE,,,900,8682678300044,BEAUTY SUPPLIES,0,0
2660,DR MIRACLE LEAVE IN CONDITIONER,,,1100,0802535225015,BEAUTY SUPPLIES,0,0
2770,"3X AFRO MARLEY TWIST 12"" #1",,,1750,0828179156454,BEAUTY SUPPLIES,1,0
2803,AP SHEA MIRACLE LEAVE IN COND,,,1150,0802535493155,BEAUTY SUPPLIES,4,0
2818,VAGISIL PEACH BLOSSOM,,,1400,0011509060341,BEAUTY SUPPLIES,12,0
2847,"HH CERAMIC CURLING IRON 1/2""",,,3000,0705372058627,BEAUTY SUPPLIES,1,0
2874,BIOSILK SILK THERAPY,,,3500,0633911744147,BEAUTY SUPPLIES,-3,0
2901,AB NO BRA BOOB TAPE CRM,,,1500,0722070101110,BEAUTY SUPPLIES,6,0
2928,ZURY BRAID BOHEMIAN,,,3300,0806993581027,BEAUTY SUPPLIES,1,0
2941,DUO INDIVIDUAL LASH GLUE DARK,,,1200,0073930568971,BEAUTY SUPPLIES,-2,0
2968,DR TEAL'S ROSE,,,2400,0810021207247,BEAUTY SUPPLIES,0,0
